name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-hard-041-ext.xml.hg,4.0,5.0,4,5.0,60,1351.8
Kakuro-hard-042-ext.xml.hg,3.0,4.0,3,4.0,60,1151.54
Kakuro-hard-043-ext.xml.hg,4.0,4.0,4,4.0,60,587.89
Kakuro-hard-044-ext.xml.hg,3.0,4.0,3,4.0,60,581.29
Kakuro-hard-045-ext.xml.hg,4.0,5.0,4,5.0,60,964.19
Kakuro-hard-046-ext.xml.hg,3.0,4.0,3,4.0,60,1028.23
Kakuro-hard-047-ext.xml.hg,4.0,5.0,4,5.0,60,1034.31
Kakuro-hard-048-ext.xml.hg,4.0,4.0,4,4.0,60,1033.25
Kakuro-hard-049-ext.xml.hg,3.0,4.0,3,4.0,60,1111.51
Kakuro-hard-050-ext.xml.hg,3.0,4.0,3,4.0,60,1663.85
Kakuro-hard-051-ext.xml.hg,4.0,5.0,4,5.0,60,1516.86
Kakuro-hard-052-ext.xml.hg,4.0,4.0,4,4.0,60,1003.01
Kakuro-hard-053-ext.xml.hg,4.0,5.0,4,5.0,60,1379.45
Kakuro-hard-054-ext.xml.hg,4.0,4.0,4,4.0,60,1734.92
Kakuro-hard-055-ext.xml.hg,4.0,4.0,4,4.0,60,1271.57
Kakuro-hard-056-ext.xml.hg,3.0,3.0,3,3.0,60,1348.01
Kakuro-hard-057-ext.xml.hg,4.0,4.0,4,4.0,60,1263.54
Kakuro-hard-058-ext.xml.hg,3.0,3.0,3,3.0,60,1957.62
Kakuro-hard-059-ext.xml.hg,3.0,3.0,3,3.0,60,2178.39
Kakuro-hard-060-ext.xml.hg,3.0,4.0,3,4.0,60,1790.93
Kakuro-hard-061-ext.xml.hg,3.0,3.0,3,3.0,60,1853.64
Kakuro-hard-062-ext.xml.hg,3.0,4.0,3,4.0,60,3371.15
Kakuro-hard-064-ext.xml.hg,3.0,4.0,3,4.0,60,1953.35
Kakuro-hard-065-ext.xml.hg,3.0,4.0,3,4.0,60,1907.29
Kakuro-hard-068-ext.xml.hg,3.0,5.0,3,5.0,60,3581.37
Kakuro-hard-069-ext.xml.hg,3.0,4.0,3,4.0,60,1125.02
Kakuro-hard-070-ext.xml.hg,3.0,4.0,3,4.0,60,2781.44
Kakuro-hard-071-ext.xml.hg,3.0,4.0,3,4.0,60,2377.92
Kakuro-hard-072-ext.xml.hg,3.0,4.0,3,4.0,60,2301.63
Kakuro-hard-073-ext.xml.hg,3.0,4.0,3,4.0,60,2040.5
Kakuro-hard-074-ext.xml.hg,3.0,4.0,3,4.0,60,1742.33
